Species,Observed biomass (t)
P.polyactis ,4522.12318
C.stigmatias ,3182.91939
S.elongata ,4415.01054
C.kumu,20320.2041
P.fangi ,15638.4973
H.otakii ,9127.12553
C.myriaster ,4113.82987
A.argentatus ,11328.0794
L.tanakai ,41145.9955
L.litulon ,35419.1421
C.herzensteini ,10409.4397
E.gilli,218643.705
E.japonicus ,772871.285
T.chefuensis ,1270.21141
A.lineatus,3840.19004
L.beka,6863.7185
O.ochellatus,4555.76411
S.japonicus ,39817.3015
S.niphonius ,111196.135
P.punctatissimus ,7627.50854
O.oratoria,6744.35995
